,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,3,2,4.198271,1.156007,27988.303037,6.085516,43.558713
1,4,4,34.542737,3.315915,403522.426081,5.961932,13.124961
2,9,9,5.261125,1.29409,50342.352234,3.909886,16.274795
3,10,2,3.520702,1.058619,29011.079534,5.349928,31.580207
4,11,11,19.184505,2.471157,135301.191851,4.235417,11.666338
5,12,2,15.889659,2.248963,149028.277426,4.259487,10.009787
6,14,2,9.532467,1.741918,79924.386687,4.276776,12.558096
7,15,2,3.892701,1.113142,39850.058468,6.465879,42.724506
8,16,2,4.025557,1.131978,38040.012352,5.583205,32.817495
9,18,2,5.22791,1.289998,38419.361606,19.100044,409.440628
10,21,2,8.821684,1.675717,76269.15919,5.764882,26.051648
11,23,2,6.596334,1.449027,59751.841033,5.712399,28.540781
12,26,2,4.855912,1.243256,42368.159054,9.335355,88.739256
13,27,2,63.578565,4.498632,682476.172412,8.31716,17.081218
14,31,2,14.069523,2.116239,139821.078909,5.558625,17.054033
15,32,2,13.883523,2.102204,132568.942626,8.77803,46.022213
16,33,33,9.373039,1.72729,54851.315529,4.53354,19.775308
17,35,2,6.755762,1.466433,48331.109862,7.244212,49.152549
18,36,2,5.154839,1.280951,28779.228571,6.80153,52.071119
19,37,37,3.474202,1.051605,19923.51739,3.702138,21.76673
20,38,2,3.580488,1.067569,27433.813478,4.991124,32.500444
21,39,2,7.094547,1.502752,47909.338253,6.611445,40.977283
22,40,2,5.002054,1.261825,43365.536565,7.13699,49.160409
23,41,2,3.979058,1.125421,31665.213132,5.569573,34.507946
24,42,42,9.167111,1.70821,58717.876887,9.583595,80.957175
